CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Customer_Segment
12346.0,326,1,77183.6,1,1,5,115,Others
12347.0,2,7,4310.000000000001,5,5,5,555,Champions
12348.0,75,4,1797.24,2,4,4,244,Others
12349.0,19,1,1757.5500000000002,4,1,4,414,Others
12350.0,310,1,334.40000000000003,1,1,2,112,Others
12352.0,36,8,2506.0400000000004,3,5,5,355,New Customers
12353.0,204,1,89.0,1,1,1,111,Lost Customers
12354.0,232,1,1079.3999999999999,1,1,4,114,Others
12355.0,214,1,459.4,1,1,2,112,Others
12356.0,23,3,2811.43,4,3,5,435,Others
12357.0,33,1,6207.67,3,1,5,315,Others
12358.0,2,2,1168.06,5,3,4,534,Others
12359.0,58,4,6372.58,3,4,5,345,Others
12360.0,52,3,2662.06,3,3,5,335,Others
12361.0,287,1,189.89999999999998,1,1,1,111,Lost Customers
12362.0,3,10,5226.23,5,5,5,555,Champions
12363.0,110,2,552.0,2,3,3,233,Others
12364.0,8,4,1313.1000000000001,5,4,4,544,Loyal Customers
12365.0,291,2,641.3799999999999,1,3,3,133,Others
12367.0,4,1,168.89999999999998,5,1,1,511,Others
12370.0,51,4,3545.6899999999996,3,4,5,345,Others
12371.0,45,2,1887.96,3,3,4,334,Others
12372.0,72,3,1298.0400000000002,2,3,4,234,Others
12373.0,311,1,364.6,1,1,2,112,Others
12374.0,25,1,742.93,4,1,3,413,Others
12375.0,11,2,457.5,5,3,2,532,Others
12377.0,315,2,1628.12,1,3,4,134,Others
12378.0,130,1,4008.62,2,1,5,215,Others
12379.0,82,2,852.24,2,3,3,233,Others
12380.0,22,4,2724.8100000000004,4,4,5,445,Others
12381.0,5,5,1845.3100000000004,5,4,4,544,Loyal Customers
12383.0,185,5,1850.5600000000002,1,4,4,144,Others
12384.0,29,2,585.2700000000001,4,3,3,433,Others
12386.0,338,2,401.9,1,3,2,132,Others
12388.0,16,6,2780.6600000000003,4,5,5,455,Potential Loyalists
12390.0,80,1,549.84,2,1,3,213,Others
